course code,course title,course description,active status,start date,end date
SAR  101,Western Art History,Course designed for students to study major art monuments and collections in the cultural context from which they emerge.  3 credits.,Inactive,SU 0203,CA 2122
SAB  205,Intermediate Arabic Lang & Cult I,Development of narrative and conversational skills and proficiency-oriented problem solving.  Credits: 3. When Offered: Fall and spring semesters. Offered Online/Hybrid: Online. Prerequisite: SAB 105  or minimum 3-4 years high school Arabic. Liberal Arts ,Active,FA 1415,SP 2122
SAB  100,Elementary Arabic Language & Cult I,"An introductory course for basic comprehension and communication in Arabic. Coordinates the study of language with culture through the use of video, magazines, and television. Assumes little or no prior knowledge of the language.  When Offered: Fall semes",Active,FA 1415,FA 2526
SAB  105,Elementary Arabic Lang & Cult II,A college-level intensive language course which emphasizes development of communicative and writing skills in Arabic. Includes readings in cultural and literary material.  When Offered: Spring semester. Offered online. Prerequistite(s): SAB 100  or 3 year,Active,FA 1415,SP 2526
SAR  103,Intro to Non-Western Art,,Inactive,SU 0304,SU 0304
SAR  102,History of Art,"Studies cultural history, painting, sculpture, and architecture.  Demonstrates the interconnection with and the imaginative representation of the human experience.  3 credits.",Inactive,SP 1011,CA 2021
SAB  210,Intermediate Arabic Lang & Cult II,Study of the current and historic cultural trends in the Arab world. Specialized uses of grammar. Develops idiomatic use of the language.Credits: 3.When Offered: Spring semester.Offered Online.Prerequisite:  SAB 205 or permission of instructor.Satisfies t,Active,FA 1415,SP 2223
SAR  120,2-D Design,"Introduction to the tools, materials, and concepts of two-dimensional image-making; the elements and principles of visual organization with contextual associations; drawing, painting, introductory printmaking, and mixed media.   When Offered: Fall and spr",Active,FA 1415,CA 2526
SAR  105,History of Western Art I,The history of art in Western culture: Prehistoric to Renaissance.   Offered: Fall semester. Liberal Atrs Curriculum: Satisfies the Global Cultures requirement.,Active,FA 1415,CF 2526
SAB  410,IS:Elementary Arabic Lang & Cult II,Permission required.  Repeatable for credit.  Variable credit.,Active,FA 1112,SP 1314
SAR  111,Exploring Drawing,This course provides non-art majors an opportunity to explore drawing as a form of creative expression. Students are introduced to the history of drawing through experiential learning in a studio environment. Projects engage students with a variety of app,Active,FA 1718,SP 2526
SAR  100,Introduction to Arts,,Inactive,FA 9697,FA 9596
SAR  116,Figure Drawing,Life studies; the human form and its exploration.   When Offered: Spring semester. Prerequistite(s): SAR 115.    Fee.,Active,SP 1718,SP 2526
SAR  110,History of Western Art II,Baroque to the present.   When Offered: Spring semester. Satisfies the Global Cultures requirement.,Active,SP 1011,SP 2526
SAR  180,Digital Imaging I,Study of theory and hands-on application of digital image creation and manipulation. Emphasis on the study of Adobe Photoshop software.  When Offered: Spring semester. Fee. Satisfies the Artistic Expression requirement.,Active,FA 1415,SP 2526
SAR  118,History of Animation,"Comprehensive overview of animation and sequential graphics. Students explore animation from the history of graphic design through modern television, movie, and video game design. Students also study the impact of technology on information processing and ",Active,SP 2021,SP 2425
SAR  115,Drawing,Concepts of seeing as it relates to drawing; introduction to various drawing media.  Offered: Fall semester. Fee.,Active,FA 1415,CF 2526
SAR  202,Sophomore Review,"Students complete and present a portfolio of work to be reviewed during the spring semester of the sophomore year by the art faculty. Transfer students complete this review after attending for one semester in the spring of their first full year, unless th",Active,SP 1819,SP 2526
SAR  125,Clay,Hand-building and wheel forming methods; clay body and glaze formulation; glaze application; firing procedures; kiln design.  Satisifies the Artistic Expression requirement of the Liberal Arts Curriculum.  Fall and spring semesters. 3 credits. Fee.,Inactive,FA 1415,SP 1617
SAR  117,Intro Graphic & Interaction Design,"Overview of the profession of graphic design. Use of graphic based interaction software and apps.  Students apply graphic design theory and principles through the creation of practical projects.  Fall semester, odd numbered years.  3 credits.  Fee",Inactive,FA 1920,FA 1920
SAR  135,Black and White Photography,"Introduction to the camera, film developing, enlargement, and printing; emphasis on developing skills to produce the ""classic ""print.   When Offered: Fall and spring semesters. Fee. Satisfies the Artistic Expression requirement.",Active,FA 1415,SP 2526
SAR  220,Design II,"Elements of three-dimensional design; forming, fabrication, and joining of various materials; use of hand and power tools.  Prerequisite: SAR120. Spring semester. 3 credits. Fee.",Inactive,SP 0506,SP 1617
SAR  130,Calligraphy,,Inactive,FA 9697,FA 9596
SAR  190,Graphic Design I,"Overview of the profession of graphic design. Study of Adobe Illustrator and InDesign software, printing, and history. Students apply graphic design theory and principles through the creation of practical projects.  When Offered: Fall semester. Fee.",Active,FA 1415,FA 2526
SAR  210,Twentieth Century Art II,Art since 1945; art movements from Abstract Expressionism to the present.  When Offered: Spring semester. Prerequistite(s): SAR 105  and SAR 110.  Writing Intensive course.,Active,SP 1011,SP 2526
SAR  199,Touchstone Studio Course,,Inactive,SU 0203,SU 0102
SAR  205,Twentieth Century Art I,Art movements in the Western world from the mid-19th century to the outbreak of World War II.   When Offered: Fall semester. Prerequistite(s): SAR 110.,Active,FA 1415,FA 2526
SAR  212,Storyboarding,"Introduction to the mechanics of visual storytelling. Students develop skills required to create successful storyboards for a variety of applications in animation, web, and interaction design. Students explore scriptwriting, directing, and development of ",Active,FA 2021,FA 2526
SAR  225,Clay,Hand-building and wheel forming methods; clay body and glaze formulation; glaze application; firing procedures; kiln design.   When Offered: Fall and spring semesters. Fee. Satisfies the Artistic Expression requirement.,Active,FA 9697,CA 2526
SAR  211,Animation I,"Introduction to animation and motion graphics. Students learn common animation techniques including frame-by-frame animation, keyframing, tweening, and syncing. Study of Adobe AfterEffects and Animate software.  Credits: 3. When Offered: Fall semester, ev",Active,SP 1920,FA 2425
SAR  213,Video,"This course is an introduction to the art of video and audio pre and post-production. Students will gain experience in video and audio capture and be able to edit them together to tell a story. Through demonstrations, readings, and practice, students will",Active,SP 1819,SP 2526
SAR  230,Typography I,"This course is an introduction to the fundamentals of typography as a critical skill for design practice. Topics include the history of typography, the impact of technology on letterforms, and the anatomy of type. Skill development in type arrangement, ty",Active,FA 1415,FA 2526
SAR  242,3D Printing,"This course is designed as an introduction to the tools used in digital design and additive manufacturing. The processes of digital rendering, 3D printing, 3D scanning, laser engraving, and basic water jet cutting.   When Offered: Fall and spring semester",Active,FA 2425,SP 2526
SAR  235,Black and White Photography,,Inactive,SP 9596,SP 0203
SAR  245,Metalsmithing,"Fabricated, formed, and cast metals; jewelry and handwrought holloware.   When Offered: Fall and spring semesters. Fee. Satisfies the Artistic Expression requirement.",Active,SP 0506,SP 2526
SAR  255,Painting,"Basic painting techniques; color theory; visual, conceptual, and contextual skills emphasized.   When Offered: Fall and spring semesters. Prerequistite(s): SAR 120.  Fee.",Active,FA 1415,SP 2526
SAR  260,Sculpture,"Addition methods using clay, wood, plaster, metals; direct building of form and armature construction; welding, casting, or carving wood or stone.  Offered: Fall semester. Fee.",Active,FA 1415,CA 2526
SAR  271,Computer for the Fine Artist,,Inactive,FA 0304,FA 0203
SAR  265,Printmaking,"Introduction to relief, monotype, and basic intaglio printing processes, as well as multi-colored processes in screen printing using non-toxic techniques.   When Offered: Spring semester. Prerequistite(s): SAR 115 and SAR 120.  Fee.",Active,SP 0506,SP 2526
SAR  295,Illustration,,Inactive,SP 9596,FA 0708
SAR  303,Mixed Media,This course will combine studio practice with a close examination of contemporary art and its implications for the development of transferrable conceptual skills in producing the best vehicle for the expression of their concepts.   When Offered: Spring se,Active,SP 2021,SP 2526
SAR  281,Digital Imaging II,This advanced course provides digital image-making concepts and techniques and in-depth exploration of computer-based photo projects.  When Offered: Spring semester. Fee.,Active,SP 1011,SP 2526
SAR  121,3-D Design,"Elements of three-dimensional design; forming, fabrication, and joining of various materials: use of hand and power tools.   When Offered: Spring semester. Prerequistite(s): SAR 120.    Fee.",Active,SP 1718,SP 2526
SAR  306,Arts in the Classroom,"This course is available to all majors. The purpose of the class is to address a wide variety of practical information for all classroom teachers. Use of art materials, purchasing, storage, safety, display, collaborations, and planning are covered. Studen",Active,FA 1718,FA 2526
SAR  290,Typography II,Analysis and creative use of typography through assigned projects. Instruction and practical experience using computer software.   When Offered: Spring semester. Prerequistite(s): SAR 180 and SAR 190.  Fee.,Active,SP 0506,SP 2526
SAR  308,Art Ed K-12 Observation & Practicum,This capstone course requires students to observe and experience practical situations in art education at the K-12 grade level. Participants observe and interact with students in a variety of levels and situations. The class includes fifteen hours of clas,Active,FA 1718,FA 2526
SAR  300,Color Theory,,Inactive,SP 9798,FA 9900
SAR  272,Intro Web Animation and Flash,,Inactive,SP 1011,SP 0910
SAR  275,History & Aesthetics of Photography,,Inactive,SP 9596,FA 9495
SAR  302,Conceptual Design Studio,,Inactive,SP 9798,SP 9900
SAR  305,Arthitectural Drafting,,Inactive,SP 9697,SP 9899
